timestamp_ms,ecg_u8_raw,ecg_counts_raw_int,ecg_counts_filt_monitor,ecg_counts_filt_diagnostic,ecg_counts_filt_st
1769249971144,126,-2,-2.8425208999179414,-1.3952894273323704,-1.2829905426707184
1769249971148,125,-3,-3.568926688383101,-2.1574410264839505,-2.0048158833690453
1769249971152,125,-3,-4.2016473138095956,-2.495311502685802,-2.6316399108646986
1769249971156,124,-4,-4.688066528275899,-3.282960243049593,-3.1112743887454544
1769249971160,124,-4,-4.949366213646803,-3.382038004439985,-3.3655939661572725
1769249971164,124,-4,-4.928380296972013,-3.23209282316088,-3.3378081845778955
1769249971168,124,-4,-4.618172875853154,-3.342972627482334,-3.0212347661363523
1769249971172,125,-3,-4.0624188886391535,-2.345405072728858,-2.4600015413272054
1769249971176,126,-2,-3.33503114624555,-1.4543337510527592,-1.7280470891914093
1769249971180,126,-2,-2.521933063164811,-1.247056369893483,-0.910054188351356
1769249971184,127,-1,-1.717767902024809,-0.3767183954676338,-0.0990377978728787
1769249971188,128,0,-1.0135160845254636,0.7569024351013736,0.6139763798995075
1769249971192,129,1,-0.4494711159527144,1.5334398534151894,1.1868153619059365
1769249971196,129,1,0.0274753569106505,1.6347420290348782,1.6711812083028257
1769249971200,129,1,0.5267259400657529,1.646302541392541,2.1769669392147533
1769249971204,130,2,1.1004384461241097,2.692234031861236,2.7574310126569324
1769249971208,131,3,1.662615551527057,3.672065123158484,3.3267777656102777
1769249971212,131,3,2.0303567955263437,3.5782247970353014,3.701833021720382
1769249971216,131,3,2.0511649426476017,3.5807697437518216,3.730257848420048
1769249971220,131,3,1.7034944065299813,3.663974984571613,3.390852636469453
1769249971224,130,2,1.0956245139194156,2.6376758319871305,2.791856416120869
1769249971228,129,1,0.3751384048582166,1.7062912634793164,2.0804631619183698
1769249971232,129,1,-0.3738370195621452,1.5152449164417492,1.3403533214529548
1769249971236,128,0,-1.16389561701825,0.6342951384697659,0.5586953811939829
1769249971240,127,-1,-2.0508086737445232,-0.4292784646142253,-0.3201322451095674
1769249971244,126,-2,-3.052823008667233,-1.286330119923067,-1.3140391573570387
1769249971248,125,-3,-4.115385290687645,-2.419583356916286,-2.368213973280609
1769249971252,124,-4,-5.1433240915350895,-3.365593671675076,-3.387097602049975
1769249971256,123,-5,-6.066252249087466,-4.50860810400963,-4.299765522181739
1769249971260,122,-6,-6.877968912681057,-5.3176212378082495,-5.100265888965831
1769249971264,122,-6,-7.610564952869229,-5.413702290532791,-5.822352158755408
1769249971268,121,-7,-8.267953956543069,-6.346183447763559,-6.471639083736304
1769249971272,120,-8,-8.796891707557261,-7.436292018618309,-6.994418445134002
1769249971276,120,-8,-9.137252243337237,-7.479803975203236,-7.327685074793496
1769249971280,120,-8,-9.292636278309,-7.356988861896147,-7.471833466082137
1769249971284,120,-8,-9.330990250050077,-7.416227320611726,-7.493819216250667
1769249971288,120,-8,-9.314779875618663,-7.364092361284918,-7.459018421305056
1769249971292,120,-8,-9.25464488247821,-7.434478701296373,-7.384761549973706
1769249971296,120,-8,-9.1560266656846,-7.530802205717265,-7.283295963042195
1769249971300,120,-8,-9.1082820545507,-7.297514004055291,-7.243960293811829
1769249971304,120,-8,-9.27438387694813,-7.550807620051136,-7.418408601761521
1769249971308,119,-9,-9.671026025979078,-8.200799975848819,-7.806308961716977
1769249971312,120,-8,-9.790236419790505,-7.669272840004855,-7.891768041643098
1769249971316,122,-6,-8.33935433274318,-5.281900285510104,-6.393871382246756
1769249971320,127,-1,-3.5186312139971525,-0.5954711671694142,-1.5373457669158217
1769249971324,134,6,5.928436515505544,6.747619104192362,7.916889212061719
1769249971328,146,18,19.287859128562477,18.49302513405345,21.25742641059605
1769249971332,162,34,33.15160730879001,34.58636775408089,35.09382983232454
1769249971336,174,46,42.40435931599118,46.48987715925182,44.329806471767526
1769249971340,174,46,42.7625337057398,46.50355895211,44.69381003601099
1769249971344,163,35,33.313847052132274,35.67354352039471,35.27624523485103
1769249971348,146,18,17.243956524383652,18.36417685046667,19.254671535411617
1769249971352,128,0,0.1771075247373352,0.7634706757905305,2.2356923240769904
1769249971356,116,-12,-12.747955581136662,-11.714890400354228,-10.660838712622162
1769249971360,110,-18,-19.17135915590842,-17.144749599631908,-17.083594547174943
1769249971364,111,-17,-19.90660900522127,-16.671156413375876,-17.838689044191064
1769249971368,113,-15,-17.573961962981357,-14.35926338086607,-15.52774948205333
1769249971372,115,-13,-14.70524718606133,-12.595051632039205,-12.66400098061581
1769249971376,116,-12,-12.607109540584425,-11.446275229769538,-10.546388394970505
1769249971380,117,-11,-11.409162366511286,-10.33871301315299,-9.312163994870303
1769249971384,119,-9,-10.767276901477096,-8.547688348210901,-8.634898721970735
1769249971388,120,-8,-10.417755862967269,-7.446353328102136,-8.26596621281443
1769249971392,120,-8,-10.245055929494228,-7.664553865140684,-8.091161387512386
1769249971396,119,-9,-10.115406569895464,-8.321111887311659,-7.964533517355526
1769249971400,119,-9,-9.845601434826849,-8.527089149359309,-7.689129861250315
1769249971404,120,-8,-9.344986209173346,-7.295579085096736,-7.171347177896412
1769249971408,122,-6,-8.69288664462655,-5.775925097811672,-6.498918930198924
1769249971412,122,-6,-8.023032569136376,-5.3687020920445185,-5.814540643474458
1769249971416,122,-6,-7.371174030102456,-5.649928885360653,-5.154180950796526
1769249971420,122,-6,-6.6883131398102265,-5.219401452786505,-4.462448695993798
1769249971424,124,-4,-5.980067987142352,-3.5781674208099123,-3.7409306630357735
1769249971428,125,-3,-5.35759259634272,-2.5673182109928883,-3.1030313752815424
1769249971432,125,-3,-4.9172720244250145,-2.5653606105103255,-2.6491091174978463
1769249971436,125,-3,-4.605834850012196,-2.539519609533421,-2.3262138991859844
1769249971440,125,-3,-4.248319270470796,-2.2936603268751874,-1.9566870002427137
1769249971444,126,-2,-3.7121049504932015,-1.564487887743179,-1.4066097786489675
1769249971448,127,-1,-3.0242627903172927,-0.5601286768383201,-0.704920582097273
1769249971452,128,0,-2.326488629028741,0.3634757873270063,0.0044979691020525
1769249971456,128,0,-1.7361509360295202,0.5311367066691783,0.6050552364684394
1769249971460,128,0,-1.263294191223595,0.5797529339529666,1.089650204057404
1769249971464,129,1,-0.8387165258270248,1.5782311560946272,1.528757419156268
1769249971468,130,2,-0.3796015557278061,2.2359299939100277,2.0031519296506564
1769249971472,130,2,0.1836039347813505,2.5915322591196768,2.57975098132862
1769249971476,131,3,0.9048146518517548,3.2294090341208617,3.3124502591152547
1769249971480,131,3,1.7977692580975866,3.897138403563867,4.217045281994679
1769249971484,133,5,2.8043508800786734,5.203707809940716,5.236472935483878
1769249971488,134,6,3.8119733638765783,6.6112247208772015,6.257071117345228
1769249971492,135,7,4.721823490248,7.203959623421081,7.178904768939636
1769249971496,135,7,5.498445138336784,7.554358606028075,7.967224516922376
1769249971500,136,8,6.153510577806035,8.599191102779367,8.635187006648453
1769249971504,137,9,6.702538548613782,9.396636492591751,9.198396486050232
1769249971508,137,9,7.157739260852759,9.493300488333569,9.667532678446578
1769249971512,138,10,7.55588443264336,10.22478106571104,10.078011701902245
1769249971516,138,10,7.965094343274428,10.577348791163791,10.498280071981265
1769249971520,138,10,8.439505065856828,10.483317363517356,10.984059939975026
1769249971524,139,11,8.96166546140263,11.522674805552189,11.51892586500116
1769249971528,140,12,9.442939710257468,12.349008594233991,12.013693756814495
1769249971532,140,12,9.79372234227081,12.341359391855836,12.377629803947483
1769249971536,140,12,9.988241419509643,12.466347542402632,12.584637713216594
1769249971540,140,12,10.04758769303472,12.510077602407051,12.656150194785544
